Year,Month,year_month,Os_Company,Range_DPD,Product_final,Payment_for_Fee,PR_amount,Balance
2020,4,4-2020,DK,Deadloan,Secured Loan,4,40000000,194734194
2020,9,9-2020,HNA,720-1080,Credit card,33000000,9150655746,23896497701
2020,4,4-2020,TCG,720-1080,Credit card,65048000,14966439267,34986740761
2020,2,2-2020,NDC,720-1080,Unsecured Loan,25312744,7992988724,15417645680
2020,1,1-2020,HMK,360-720,Unsecured Loan,120157525,109349197455,181862043101
2020,8,8-2020,NDC,0-180,Credit card,105185486,"277519340,1","300302864,9"
2020,1,1-2020,GLX,180-360,Credit card,65360956,15311157359,21066938116
2020,11,11-2020,FBI,720-1080,Credit card,0,"97530666,8","299463153,4"
2020,1,1-2020,FBI,Deadloan,Secured Loan,3221691,102412016219,406582996808
2020,1,1-2020,NDC,180-360,Unsecured Loan,33507505,8950909538,11645768205
2020,5,5-2020,TDO,0-180,Credit card,0,"45104470,38","45104470,38"
2020,11,11-2020,BFC,720-1080,HHB,500008,13087477280,33026077679
2020,9,9-2020,AMG,720-1080,Overdraft,0,847223432,1529351446
2020,11,11-2020,TDO,0-180,Credit card,2548956,"45104470,38","48430159,83"
2020,7,7-2020,HMK,360-720,Unsecured Loan,133850266,13376153464,22940190638
2020,11,11-2020,DK,720-1080,Credit card,35470000,17248433747,45008049081
2020,11,11-2020,NDC,360-720,Overdraft,13000000,165159127,218859587
2020,5,5-2020,NDC,360-720,Overdraft,1024000,1299550136,2092522589
2020,7,7-2020,GLX,180-360,Unsecured Loan,95404900,1772237554,2304682564
2020,7,7-2020,BFC,1080+,Credit card,19750000,11203733171,48057076145
2020,8,8-2020,AMG,360-720,Unsecured Loan,6240032,1692683145,3081859019
2020,11,11-2020,TDO,720-1080,Credit card,5000000,"10597530,83","31735533,04"
2020,7,7-2020,TCG,0-180,Unsecured Loan,18154255,142053700,154271001
2020,4,4-2020,GLX,Deadloan,Credit card,5000000,2332209540,12604320565
2020,2,2-2020,NDC,0-180,Credit card,82860000,"567775706,7",633677048
2020,1,1-2020,HMK,180-360,Overdraft,108030873,3288537548,4456043985
2020,12,12-2020,NDC,360-720,HHB,14821265,2176390176,4347510439
2020,5,5-2020,GLX,360-720,Overdraft,4922556,967457108,1421975402
2020,8,8-2020,AMG,360-720,Credit card,15600000,2120621331,4049321578
2020,5,5-2020,FBI,720-1080,Secured Loan,308000000,0,117833821
2020,6,6-2020,HNA,720-1080,Secured Loan,10000000,154262692,238810301
2020,4,4-2020,TCG,0-180,Credit card,354788825,"461139150,4","486636277,4"
2020,7,7-2020,HMK,180-360,Overdraft,0,105080984,136729340
2020,4,4-2020,TCG,720-1080,Unsecured Loan,92041871,108178103779,230231575853
2020,9,9-2020,AMG,1080+,HHB,1000000,8212911620,26753156876
2020,1,1-2020,DK,1080+,Unsecured Loan,0,2042027115,5164738071
2020,12,12-2020,HNA,0-180,Credit card,36430000,0,0
2020,11,11-2020,TDO,720-1080,Unsecured Loan,4,69129817,160747154
2020,11,11-2020,FBI,0-180,Credit card,0,0,0
2020,9,9-2020,ASA,Deadloan,Secured Loan,10000128,15325825621,87772581779
2020,4,4-2020,NDC,Deadloan,Credit card,211800000,"756655873,2",3039160433
2020,5,5-2020,NDC,0-180,Unsecured Loan,17736828,113074116,121016516
2020,10,10-2020,GLX,Deadloan,Unsecured Loan,32,25975610693,160560872664
2020,10,10-2020,DK,Deadloan,Secured Loan,140,26579640055,130918191678
2020,5,5-2020,FBI,720-1080,Credit card,54910000,36535985578,88961644076
2020,10,10-2020,TCG,720-1080,Unsecured Loan,279352826,120360120950,256645878768
2020,11,11-2020,FBI,720-1080,Unsecured Loan,1928029,288746271,661478293
2020,1,1-2020,GLX,180-360,Unsecured Loan,203915206,29917776395,38704134508
2020,2,2-2020,HNA,Deadloan,Secured Loan,4,109801916,544236313
2020,2,2-2020,NDC,720-1080,Credit card,57422354,13373191606,32127819454
2020,2,2-2020,HMK,1080+,HHB,19500000,13382592348,43944310869
2020,4,4-2020,GLX,Deadloan,Unsecured Loan,60376,19695393755,51054552614
2020,3,3-2020,HNA,360-720,HHB,0,"944521634,9",1775275997
2020,2,2-2020,HMK,720-1080,Overdraft,8,1690246322,2968661250
2020,11,11-2020,NDC,0-180,Unsecured Loan,7278025,63289443,72224462
2020,8,8-2020,TDO,0-180,Unsecured Loan,2386111,41993958,43197970
2020,10,10-2020,DK,180-360,Credit card,0,"87951923,32","117887679,8"
2020,7,7-2020,BFC,1080+,Unsecured Loan,30,3940888719,11977904350
2020,5,5-2020,TDO,720-1080,Credit card,1500000,7630274837,17369413263
2020,8,8-2020,HMK,720-1080,Overdraft,24950000,2603871010,4826060269
2020,1,1-2020,NDC,180-360,Credit card,13950487,5135741238,7126507039
2020,10,10-2020,ASA,360-720,HHB,433962120,12556705487,23641292844
2020,12,12-2020,AMG,360-720,Unsecured Loan,1000032,833755687,1384155788
2020,5,5-2020,DK,1080+,Overdraft,0,2484391919,5907419453
2020,4,4-2020,HNA,720-1080,Secured Loan,0,174212692,253140869
2020,6,6-2020,TCG,0-180,Credit card,27460389,"396480356,3","433092085,2"
2020,5,5-2020,NDC,180-360,Unsecured Loan,26663158,707490461,891735875
2020,12,12-2020,GLX,0-180,HHB,139185080,363471285,391455456
2020,8,8-2020,NDC,180-360,Overdraft,10048514,51674713,54730293
2020,7,7-2020,TDO,0-180,Credit card,472164,"45104470,38","46744163,06"
2020,3,3-2020,NDC,Deadloan,Unsecured Loan,0,82053348282,712547796849
2020,4,4-2020,ASA,360-720,HHB,280513012,56414451490,115233712251
2020,1,1-2020,TDO,0-180,Credit card,34488565,"923684354,9",1153237124
2020,5,5-2020,BFC,720-1080,Overdraft,0,14261012,27069762
2020,2,2-2020,GLX,180-360,Credit card,142293248,16351333868,22871063397
2020,9,9-2020,DK,180-360,Unsecured Loan,1027741,375982709,488504958
2020,11,11-2020,HNA,720-1080,Unsecured Loan,24990324,26453576597,57647827848
2020,11,11-2020,HMK,1080+,Credit card,262517267,49571770210,238719911713
2020,10,10-2020,TDO,720-1080,Unsecured Loan,4,69129817,156473102
2020,5,5-2020,ASA,1080+,Other,19106019,0,0
2020,1,1-2020,TDO,180-360,Unsecured Loan,31483524,6880455689,9015936828
2020,12,12-2020,FBI,720-1080,Credit card,0,"108438528,8","330540065,3"
2020,6,6-2020,BFC,180-360,Unsecured Loan,5,101843559,130712442
2020,5,5-2020,GLX,720-1080,Credit card,136176000,33289787929,81190892108
2020,7,7-2020,TDO,180-360,Unsecured Loan,10030,456193404,582008026
2020,4,4-2020,HMK,0-180,Unsecured Loan,61659943,966269772,1054044480
2020,8,8-2020,HNA,180-360,Unsecured Loan,8,175522704,224250644
2020,6,6-2020,BFC,1080+,Unsecured Loan,325,3081919867,9713653784
2020,6,6-2020,DK,Deadloan,Secured Loan,5,40000000,197978489
2020,2,2-2020,DK,1080+,Unsecured Loan,56,2294309884,5898318769
2020,11,11-2020,DK,1080+,Overdraft,4,1909442082,4241849947
2020,3,3-2020,TCG,720-1080,Unsecured Loan,211706526,111720551733,236522269731
2020,8,8-2020,GLX,1080+,Credit card,143837000,30937685314,139467138049
2020,8,8-2020,HNA,0-180,Credit card,0,"40685191,4","68905534,74"
2020,7,7-2020,BFC,720-1080,HHB,4000000,17535988567,45158880007
2020,4,4-2020,TDO,720-1080,Unsecured Loan,7340120,49820490774,103838277073
2020,12,12-2020,BFC,1080+,Unsecured Loan,90718752,75855532115,221783294215
2020,2,2-2020,FBI,0-180,HHB,211233525,1614321074,1744220468
2020,8,8-2020,DK,1080+,Unsecured Loan,3978268,32297246439,93048481173
2020,12,12-2020,NDC,0-180,Unsecured Loan,5252802,71847004,81139425
2020,10,10-2020,BFC,180-360,HHB,0,19719498,29557250
2020,10,10-2020,BFC,360-720,Overdraft,0,105146071,168775446
2020,3,3-2020,NDC,720-1080,Credit card,155000000,28507451292,67268325264
2020,8,8-2020,GLX,180-360,Credit card,7582000,"177247458,7","240103045,9"
2020,10,10-2020,FBI,Deadloan,Unsecured Loan,11125361,55261129561,460198997033
2020,10,10-2020,DK,720-1080,Unsecured Loan,88217912,110552393017,237419699215
2020,8,8-2020,DK,1080+,Secured Loan,12,96348177,289209613
2020,1,1-2020,HMK,720-1080,Overdraft,4,1634496584,2853770160
2020,1,1-2020,HMK,1080+,HHB,8000000,11255814586,37863392789
2020,9,9-2020,GLX,360-720,Overdraft,5479253,308079853,529731526
2020,11,11-2020,NDC,1080+,Unsecured Loan,162901603,260524377003,749638093118
2020,9,9-2020,NDC,720-1080,Credit card,122641784,39234984007,99806933629
2020,7,7-2020,HMK,720-1080,Overdraft,5,2602019511,4793903228
2020,9,9-2020,ASA,720-1080,Credit card,110193614,64941213733,164085131231
2020,11,11-2020,GLX,360-720,HHB,311441136,6776982287,13846805776
2020,10,10-2020,HNA,720-1080,Secured Loan,9978003,114412486,208462464
2020,8,8-2020,GLX,0-180,Unsecured Loan,100952442,508540493,561517093
2020,6,6-2020,TCG,180-360,Unsecured Loan,21928070,965430720,1183888086
2020,3,3-2020,GLX,Deadloan,Unsecured Loan,0,19695393755,50434678005
2020,12,12-2020,HNA,1080+,Overdraft,12553246,572203957,1390171066
2020,10,10-2020,FBI,360-720,Unsecured Loan,147808,169030479,224004090
2020,11,11-2020,HNA,0-180,Unsecured Loan,0,7796709,9054043
2020,12,12-2020,DK,720-1080,Overdraft,16910,1348348498,2622946012
2020,1,1-2020,HNA,1080+,Unsecured Loan,9428881,9447221827,27022700956
2020,5,5-2020,TCG,180-360,Overdraft,0,225042226,275419875
2020,7,7-2020,DK,720-1080,Credit card,5000000,9466288376,23276896518
2020,8,8-2020,NDC,1080+,Credit card,181696000,22264169807,115151297826
2020,10,10-2020,TCG,360-720,Overdraft,22021510,392371642,599520939
2020,8,8-2020,HNA,720-1080,Credit card,121190000,14193986735,35185466606
2020,4,4-2020,TDO,180-360,Credit card,0,"506229504,4","732029722,6"
2020,8,8-2020,HNA,1080+,HHB,7000004,8961626671,27793689763
2020,7,7-2020,HNA,1080+,Unsecured Loan,41025341,70552436922,213753566325
2020,8,8-2020,GLX,720-1080,Unsecured Loan,255073097,181222097132,383060641516
2020,2,2-2020,NDC,180-360,Credit card,17889074,5423930387,7587409142
2020,11,11-2020,BFC,360-720,HHB,500000,"430268952,3","884262031,6"
2020,6,6-2020,DK,180-360,Credit card,28200000,"72529606,28","89843476,89"
2020,6,6-2020,NDC,720-1080,Unsecured Loan,569892110,141169818542,288768471131
2020,11,11-2020,DK,360-720,Credit card,126873114,1091795750,2053232777
2020,3,3-2020,ASA,180-360,HHB,149164285,3354042951,5153817536
2020,5,5-2020,DK,360-720,Credit card,19062000,5699494788,12035094221
2020,1,1-2020,HNA,Deadloan,Secured Loan,4,109801916,539646960
2020,9,9-2020,NDC,360-720,Overdraft,12019978,389962344,626702768
2020,12,12-2020,NDC,720-1080,Unsecured Loan,297833747,94426536248,205867347733
2020,4,4-2020,NDC,360-720,Credit card,53066000,20929591510,41351089785
2020,10,10-2020,NDC,720-1080,HHB,76480211,54832495573,136656083637
2020,12,12-2020,TDO,Deadloan,Credit card,0,4209978500,21210637669
2020,5,5-2020,ASA,1080+,Credit card,109482000,39341301096,178827676998
2020,1,1-2020,HMK,180-360,Unsecured Loan,140679315,29928069804,38689615608
2020,6,6-2020,HMK,Deadloan,Unsecured Loan,1978015,136873441,248893362
2020,12,12-2020,HMK,Deadloan,Unsecured Loan,2028003,14020411,14182864
2020,6,6-2020,HNA,1080+,Overdraft,5,329021563,640708726
2020,4,4-2020,TCG,360-720,Overdraft,8569468,724843373,953564876
2020,12,12-2020,GLX,720-1080,HHB,251028443,44050441130,113513499675
2020,3,3-2020,TCG,180-360,Credit card,2250000,"766126010,5",1036077050
